"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Mobo\Desktop\smarket_repo\lib\core\constants\constant.dart", "Dart", 14, 1, 4, 19
"c:\Users\Mobo\Desktop\smarket_repo\lib\core\constants\pop_context.dart", "Dart", 10, 0, 4, 14
"c:\Users\Mobo\Desktop\smarket_repo\lib\core\routes\route.dart", "Dart", 25, 0, 2, 27
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\controller\account_setting_controller.dart", "Dart", 9, 0, 3, 12
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\function\get_info.dart", "Dart", 21, 0, 5, 26
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\billingdetails.dart", "Dart", 16, 0, 0, 16
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\customer.dart", "Dart", 8, 0, 2, 10
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\get_home.dart", "Dart", 10, 0, 2, 12
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\get_info.dart", "Dart", 8, 0, 2, 10
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\get_msg.dart", "Dart", 6, 0, 2, 8
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\get_sign_in.dart", "Dart", 10, 0, 2, 12
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\invoice.dart", "Dart", 38, 0, 7, 45
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\invoiceDetailes.dart", "Dart", 87, 1, 2, 90
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\payment_detailes.dart", "Dart", 17, 0, 1, 18
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\product_details.dart", "Dart", 26, 0, 1, 27
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\models\supplier.dart", "Dart", 8, 0, 2, 10
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\repository\auth_qr.dart", "Dart", 8, 0, 2, 10
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\repository\delete_card.dart", "Dart", 5, 0, 2, 7
"c:\Users\Mobo\Desktop\smarket_repo\lib\data\repository\get_home.dart", "Dart", 8, 0, 4, 12
